Banding Code	Common Name	Scientific Name	Vermont Subspecies	eBird Subspecies	eBird Subspecies Sci. Name	Total Subsp.	Subsp. in VT	Wash. Co. Records	VT Records	VT Media Records	Richard Needs	Wash needs	Vermont Needs	Global Needs	Field Diagnostics	Notes	eBird Species Page	BotW Systematics
	Color Scheme:																	
	To Do	Look for	Special note	more research needed	Done	Mine is the only or first record												
																		
	Waterfowl																	
SNGO	Snow Goose	Anser caerulescens	A.c. carulescens, A.c. atlanticus	None		2	2?								Size. But overlap.	There is also a blue morph.		https://birdsoftheworld.org/bow/species/snogoo/cur/systematics
ROGO	Ross's Goose	Anser rossii	Monotypic	None												Blue morph exists.		
BRAN	Brant	Branta bernicla	B. b. hrota	Brant (Atlantic)	B. b. hrota	3	1		100+	21p	Species (VT)		Subsp. audio		Pale, grayish-brown belly contrasts sharply with black breast; white fringes on sides broaden from breast to flanks; dorsum distinctly brown; necklace often broken in front.			https://birdsoftheworld.org/bow/species/brant/cur/systematics
CACG	Cackling Goose	Branta hutchinsii	B. h. hutchinsii	Cackling Goose (Richardson's)	B. h. h.	4	1	0	50+	7p	Ssp.	Ssp.	Audio		Similar to B. h. taverneri, but paler overall, virtually always lack a white collar, and averages slightly smaller, being the size of B. h. leucopareia (although with the head rounder, on average).			https://birdsoftheworld.org/bow/species/cacgoo1/cur/systematics
CANG	Canada Goose	Branta canadensis	B. c. c.	Canada Goose (canadensis Group)	B. c. [c. G.]	7(4)	1	0	0	0	Ssp.	Ssp.	Ssp.		Like B. c. interior, but brown mantle separated sharply from the black neck by a pale patch; breast markedly paler. Hybridizes with B. c. interior westward on the Ungava Peninsula of eastern Quebec (Palmer 1976).			
TRUS	Trumpeter Swan	Cygnus buccinator	Monotypic	None														
TUSW	Tundra Swan	Cygnus columbianus	C. c. c.	Tundra Swan (Whistling)	C. c. c. 	2	1	0	1	0	Ssp.	Ssp.	Media		Slightly larger than Bewick's: average mass of adult male Bewick's 6.3 kg (4.5-8.4) and adult females 5.6 kg (4.3-7.8; (Evans and Kear 1978) ); appearance differs principally in extent of yellow lore pattern.			https://birdsoftheworld.org/bow/species/tunswa/cur/systematics
WODU	Wood Duck	Aix sponsa	Monotypic	None														
BWTE	Blue-winged Teal	Spatula discors	Monotypic	None														
NSHO	Northern Shoveler	Spatula clypeata	Monotypic	None														
GADW	Gadwall	Mareca strepera	M. s. s.	Gadwall (Common)	M. s. s. 	2	1	0	11	0	Ssp.	Ssp.	Media		Not small or extinct.			https://birdsoftheworld.org/bow/species/gadwal/cur/systematics
AMWI	American Wigeon	Mareca americana	Monotypic	None														
MALL	Mallard	Anas platyrhynchos	A. p. platyrhynchos	None		2	1									One subspecies in Greenland. Otherwise, clinal.	https://ebird.org/species/mallar3/	https://birdsoftheworld.org/bow/species/mallar3/cur/systematics
ABDU	American Black Duck	Anas rubripes	Monotypic	None														
NOPI	Northern Pintail	Anas acuta	Monotypic	None														
